url,introChars,bodyChars,introRatio,answerLate,first700Preview
/,181,943,0.192,false,부산 법무사 입니다. 가 상속등기·부동산등기·법인등기·개인회생·파산 등 필요한 절차와 준비서류를 직접 상담·안내합니다. 부산 법무사 입니다. 가 상속등기·부동산등기·법인등기·개인회생·파산 등 필요한 절차와 준비서류를 직접 상담·안내합니다. 부산 해운대구·센텀에 위치한 가 절차·서류·비용을 항목별로 설명드립니다. 막막할수록
/about,247,1028,0.24,false,"프로필. 법무사·공인중개사·신용관리사·직업상담사, 교사 자격, 부산대 행정대학원 재학, 대한법무사협회 표창, 기획예산처·부산시·해운대구·민주평통 자문, 시민도서관·청년기관 법률 강의. 프로필. 법무사·공인중개사·신용관리사·직업상담사, 교사 자격, 부산대 행정대학원 재학, 대한법무사협회 표창, 기획예산처·부산시·해운대구·민"
/office,183,987,0.185,false,"부산 해운대구 센텀 . 주소·운영시간·주차·상담 방식과 방문 전 준비사항을 안내합니다. 가 직접 상담하며, 예약 후 방문해 주세요. 부산 해운대구 센텀 . 주소·운영시간·주차·상담 방식과 방문 전 준비사항을 안내합니다. 가 직접 상담하며, 예약 후 방문해 주세요. 부산 해운대구·센텀에 위치한 가 절차·서류·비용을 항목별로"
/services,185,1019,0.182,false,"상속등기·상속포기·한정승인, 부동산등기, 법인설립·임원변경등기, 개인회생·파산 업무별 절차·수임 범위·실무 사례 안내. 상속등기·상속포기·한정승인, 부동산등기, 법인설립·임원변경등기, 개인회생·파산 업무별 절차·수임 범위·실무 사례 안내. 부산 해운대구·센텀에 위치한 가 절차·서류·비용을 항목별로 설명드립니다. 막막할수록"
/blog,163,929,0.175,false,공식 네이버 블로그 안내 페이지입니다. 최신 법률정보와 상담 사례는 네이버 블로그에서 확인하실 수 있습니다. 공식 네이버 블로그 안내 페이지입니다. 최신 법률정보와 상담 사례는 네이버 블로그에서 확인하실 수 있습니다. 부산 해운대구·센텀에 위치한 가 절차·서류·비용을 항목별로 설명드립니다. 막막할수록 지금 무엇부터 해야 
/reviews,137,894,0.153,false,네이버 플레이스 방문자가 남긴 상속등기·부동산등기·법인등기·상담 후기. 네이버 플레이스 방문자가 남긴 상속등기·부동산등기·법인등기·상담 후기. 부산 해운대구·센텀에 위치한 가 절차·서류·비용을 항목별로 설명드립니다. 막막할수록 지금 무엇부터 해야 하는지부터 정리하는 것이 우선이라고 생각합니다. 현재 상황과 목표를 전화·메
/faq,151,940,0.161,false,"상속등기, 부동산등기, 법인등기, 개인회생·파산 등 법무사 업무 관련 자주 묻는 질문과 답변. 상속등기, 부동산등기, 법인등기, 개인회생·파산 등 법무사 업무 관련 자주 묻는 질문과 답변. 부산 해운대구·센텀에 위치한 가 절차·서류·비용을 항목별로 설명드립니다. 막막할수록 지금 무엇부터 해야 하는지부터 정리하는 것이 우선"
/media,133,881,0.151,false,"언론 보도, 법률 강의, 기업·공공기관 협력, 정책 자문 등 대외 활동 기록. 언론 보도, 법률 강의, 기업·공공기관 협력, 정책 자문 등 대외 활동 기록. 부산 해운대구·센텀에 위치한 가 절차·서류·비용을 항목별로 설명드립니다. 막막할수록 지금 무엇부터 해야 하는지부터 정리하는 것이 우선이라고 생각합니다. 현재 상황과 "
/contact,143,926,0.154,false,전화·카카오톡·네이버 톡톡 상담 안내. 방문 예약 후 센텀 사무소에서 직접 상담 가능. 전화·카카오톡·네이버 톡톡 상담 안내. 방문 예약 후 센텀 사무소에서 직접 상담 가능. 부산 해운대구·센텀에 위치한 가 절차·서류·비용을 항목별로 설명드립니다. 막막할수록 지금 무엇부터 해야 하는지부터 정리하는 것이 우선이라고 생각합니
/location,153,921,0.166,false,"부산 해운대구 센텀동로 200 D동 1층 위치, 센텀시티역·주차·건물 안내, 네이버 예약 링크. 부산 해운대구 센텀동로 200 D동 1층 위치, 센텀시티역·주차·건물 안내, 네이버 예약 링크. 부산 해운대구·센텀에 위치한 가 절차·서류·비용을 항목별로 설명드립니다. 막막할수록 지금 무엇부터 해야 하는지부터 정리하는 것이 "
/search-guides,185,1025,0.18,false,"부산 법무사 추천·비용·후기, 등기 복대리·집단등기, 개인회생, 공공기관·보존등기처럼 상담 전에 자주 묻는 주제를 모았습니다. 부산 법무사 추천·비용·후기, 등기 복대리·집단등기, 개인회생, 공공기관·보존등기처럼 상담 전에 자주 묻는 주제를 모았습니다. 부산 해운대구·센텀에 위치한 가 절차·서류·비용을 항목별로 설명드립니"
/contact/inquiry,209,1015,0.206,false,상속등기·부동산등기·법인등기·개인회생 등 상담 분야와 현재 상황을 남기는 신청 양식입니다. 전화·카카오 안내가 필요하면 상담 문의 페이지를 이용해 주세요. 상속등기·부동산등기·법인등기·개인회생 등 상담 분야와 현재 상황을 남기는 신청 양식입니다. 전화·카카오 안내가 필요하면 상담 문의 페이지를 이용해 주세요. 부산 해운대
/개인정보처리방침,173,954,0.181,false,"개인정보처리방침. 문의·상담 시 수집 항목, 이용 목적, 보유 기간, 제3자 제공, 파기, 정보주체 권리를 안내합니다. 개인정보처리방침. 문의·상담 시 수집 항목, 이용 목적, 보유 기간, 제3자 제공, 파기, 정보주체 권리를 안내합니다. 부산 해운대구·센텀에 위치한 가 절차·서류·비용을 항목별로 설명드립니다. 막막할수록"
/이용약관,157,906,0.173,false,"웹사이트 이용약관. 법률정보 일반 안내의 범위, 상담 한계, 지적재산권, 책임의 제한을 안내합니다. 웹사이트 이용약관. 법률정보 일반 안내의 범위, 상담 한계, 지적재산권, 책임의 제한을 안내합니다. 부산 해운대구·센텀에 위치한 가 절차·서류·비용을 항목별로 설명드립니다. 막막할수록 지금 무엇부터 해야 하는지부터 정리하는"
