QUERY,CLUSTER,INTENT,PRIMARY URL,CURRENT COVERAGE,RANKING EVIDENCE,CANNIBALIZATION RISK,ACTION
부산 법무사,Broad,local commercial,/,HOME title/H1 일치,NAVER SERP 자동 확인 불가,MEDIUM /부산법무사 supporting,KEEP_HOME
부산법무사,Broad,same as 부산 법무사,/,compact champion,NAVER SERP 자동 확인 불가,LOW,KEEP
부산 법무사 상담,Consultation,action/channel,/부산법무사상담,H1·title 일치,NAVER SERP 자동 확인 불가,LOW /상담 /부산법률상담,PRIMARY_ACTION_PAGE
부산 법무사 추천,Recommendation,selection criteria,/부산법무사추천,H1·title 일치,NAVER SERP 자동 확인 불가,LOW /부산법무사비교,PROTECT_IMPROVE_JARGON
부산 법무사 등기,Service,registry hub,/부산등기법무사,H1 등기 선택,NAVER SERP 자동 확인 불가,LOW,NO_NEW_URL
부산 등기 법무사,Service,registry hub,/부산등기법무사,title 일치,NAVER SERP 자동 확인 불가,LOW /부산등기법무사추천,KEEP
부산 상속전문 법무사,Service,inheritance choice hub,/부산상속법무사,전문자격 표방 없음,NAVER SERP 자동 확인 불가,LOW,NO_NEW_URL
부산 상속 법무사,Service,inheritance choice hub,/부산상속법무사,H1 등기·포기·한정,NAVER SERP 자동 확인 불가,MEDIUM /상속 /부산상속등기,PROTECT
부산 법무사 상속,Service,same as 부산 상속 법무사,/부산상속법무사,alias,NAVER SERP 자동 확인 불가,LOW,NO_NEW_URL
부산 상속포기 법무사,Procedure,renunciation,/부산상속포기,H1 기한·후순위,NAVER SERP 자동 확인 불가,LOW /상속포기비용,KEEP
부산 한정승인 법무사,Procedure,qualified acceptance,/부산한정승인,H1 채무 불확실,NAVER SERP 자동 확인 불가,LOW /한정승인비용,KEEP
부산 부동산 법무사,Service,broad real-estate commercial,/부산부동산등기,기존 unique hub,NAVER SERP 자동 확인 불가,HIGH /부산부동산등기법무사 /부동산등기,PRIMARY_EXISTING
부산 부동산등기 법무사,Service,same cluster,/부산부동산등기,title 이미 보유,NAVER SERP 자동 확인 불가,HIGH /부산부동산등기법무사,SUPPORT_SPOKE
부산 부동산 등기,Service,same cluster,/부산부동산등기,실무 hub,NAVER SERP 자동 확인 불가,MEDIUM /부동산등기,KEEP
부산 상속등기 법무사,Procedure,name transfer,/부산상속등기,원인=명의이전,NAVER SERP 자동 확인 불가,MEDIUM /부산상속법무사,KEEP_SPECIFIC
부산 법무사 비용,Cost,fee structure,/부산법무사비용,비용 전용,NAVER SERP 자동 확인 불가,LOW,NO_NEW_URL
부산 법무사 수임료,Cost,fee synonym,/부산법무사비용,champion compact,NAVER SERP 자동 확인 불가,LOW,KEEP
부산 상속 법무사 추천,Recommendation,inheritance selection,/부산상속법무사,허브 선택 기준,NAVER SERP 자동 확인 불가,MEDIUM /부산법무사추천,SECTION_NOT_NEW_URL
부산 상속 법무사 비용,Cost,inheritance cost,/상속등기비용,비용 전용 우선,NAVER SERP 자동 확인 불가,MEDIUM /부산상속법무사 비용섹션,KEEP_COST_URL
부산 상속포기 비용,Cost,renunciation cost,/상속포기비용,비용 전용,NAVER SERP 자동 확인 불가,LOW /부산상속포기,KEEP
부산 한정승인 비용,Cost,QA cost,/한정승인비용,비용 전용,NAVER SERP 자동 확인 불가,LOW /부산한정승인,KEEP
부산 상속등기 비용,Cost,registration cost,/상속등기비용,비용 전용,NAVER SERP 자동 확인 불가,LOW,KEEP
부산 등기 법무사 비용,Cost,registry cost,/등기비용,비용 허브,NAVER SERP 자동 확인 불가,MEDIUM /부산등기법무사,KEEP
