QUERY,CLUSTER,TYPE,PROPOSED_URL,PARENT_HUB,PRIORITY,NOTES,SEVEN_CONDITIONS,DECISION
부산 재산명시,E.CIVIL_DEBT,SERVICE_PAGE,/부산재산명시,/민사소송,P0,집행권원 후 재산목록 — 가압류/채권압류와 독립,ALL_YES,NEW_IMPLEMENTED
부산 부재자재산관리인,F.STATUS,SERVICE_PAGE,/부산부재자재산관리인,/가족후견,P0,특정 부재자 재산관리 — 상속재산관리·특별대리와 분리,ALL_YES,NEW_IMPLEMENTED
부산 상속재산관리인,B.INHERITANCE,SERVICE_PAGE,/부산상속재산관리인,/상속,P0,상속인 없음/불명확 — 부재자·포기와 분리,ALL_YES,NEW_IMPLEMENTED
부산 해외상속인,B.INHERITANCE,SERVICE_PAGE,/해외거주상속인,/상속,P1,기존 URL 존재,FAIL_2_EXISTING,SKIP_DUPLICATE
부산 개명신청,F.STATUS,SERVICE_PAGE,/부산개명허가,/가족후견,P1,기존 개명허가,FAIL_2_EXISTING,UPGRADE_EXISTING
부산 한정후견,F.STATUS,SERVICE_PAGE,/가족후견,/가족후견,P1,허브+자가진단으로 충분,FAIL_3_CAN_EXTEND,UPGRADE_EXISTING
부산 채권가압류,E.CIVIL_DEBT,SERVICE_PAGE,/가압류신청서류준비,/민사소송,P1,가압류 신청 페이지 확장,FAIL_3_CAN_EXTEND,UPGRADE_EXISTING
부산 부동산가압류,E.CIVIL_DEBT,SERVICE_PAGE,/가압류신청서류준비,/민사소송,P1,동일,FAIL_3_CAN_EXTEND,UPGRADE_EXISTING
부산 통장압류,E.CIVIL_DEBT,SERVICE_PAGE,/채권압류추심서류준비,/공탁채권회수,P1,채권압류에 흡수,FAIL_3_CAN_EXTEND,UPGRADE_EXISTING
부산 가압류 법무사,E.CIVIL_DEBT,SERVICE_PAGE,/가압류신청서류준비,/민사소송,P0,commercial intent는 서류 페이지+허브,FAIL_3_CAN_EXTEND,UPGRADE_EXISTING
