family,intent_type,queries,primary_url,support_urls,new_pages
부산 법무사 비용,TYPE_A,"부산 법무사 비용|부산 법무사 수임료|부산 법무사 수수료|부산 법무사 보수|부산 법무사 가격|부산 법무사 견적|부산 법무사 비용 얼마|법무사 비용|법무사 수임료|법무사 보수",/부산법무사비용,"/부산법무사보수표|/부산법무사수임료|/부산법무사보수|/법무사비용|/법무사수임료|/법무사보수",0
상속등기 비용,TYPE_B,"부산 상속등기 비용|상속등기 수임료|상속등기 수수료|상속등기 법무사 보수|상속등기 얼마|상속등기 법무사 비용",/상속등기비용,"/왜상속등기비용이다를까|/부산상속등기|/상속등기보수표",0
상속포기 비용,TYPE_B,"상속포기 비용|부산 상속포기 법무사 비용|상속포기 수임료",/상속포기비용,/부산상속포기,0
한정승인 비용,TYPE_B,"한정승인 비용|부산 한정승인 비용",/한정승인비용,/부산한정승인,0
부산 상속 법무사 비용,TYPE_A_SERVICE,"부산 상속 법무사 비용",/부산상속법무사,"/상속등기비용|/상속포기비용|/한정승인비용",0
등기 법무사 비용,TYPE_B,"부산 등기 법무사 비용|부산 부동산등기 비용|등기비용",/부동산등기비용,"/부산등기법무사|/등기비용|/부동산등기보수표",0
소유권이전 비용,TYPE_B,"소유권이전등기 비용|부산 소유권이전 법무사 비용|아파트 등기 법무사 비용|아파트 매매 등기 비용|매매등기 수임료|잔금 법무사 비용",/소유권이전등기비용,/부산소유권이전등기,0
증여등기 비용,TYPE_B,"증여등기 비용|부산 증여 법무사 비용",/증여등기비용,/부산증여등기,0
근저당 말소 비용,TYPE_B,"근저당 말소 비용",/근저당말소비용,"/부산근저당말소등기|/부동산등기비용|/근저당말소보수표",0
법인설립 비용,TYPE_B,"부산 법인설립 비용|부산 법인설립 법무사 비용|법인설립 수임료|법인설립 수수료",/법인설립등기비용,/부산법인설립등기,0
법인등기 비용,TYPE_B,"부산 법인등기 비용|법인등기 법무사 비용|임원변경등기 비용|대표이사 변경 비용|본점이전등기 비용|목적변경등기 비용|증자등기 비용|법인 해산등기 비용",/법인등기비용,"/부산법인등기비용|/부산법인등기",0
개인회생 비용,TYPE_B,"부산 개인회생 비용|부산 개인회생 법무사 비용|개인회생 수임료|개인회생 법무사 수임료|개인회생 신청비용|개인회생 법무사 수수료",/개인회생비용,"/왜개인회생비용이다를까|/부산개인회생|/부산개인회생법무사|/개인회생보수표",0
개인파산 비용,TYPE_B,"부산 개인파산 비용|부산 개인파산 법무사 비용|개인파산 수임료|회생파산 비용",/개인파산비용,"/부산개인파산|/개인회생파산",0
임차권등기 비용,TYPE_B,"부산 임차권등기명령 비용|임차권등기 법무사 비용",/임차권등기명령비용,"/부산임차권등기명령|/임차권등기명령보수표",0
전세 관련 법무사 비용,TYPE_B,"전세보증금 반환 법무사 비용|전세사기 법무사 비용",/전세사기피해대응절차,/부산임차권등기명령,0
개명 비용,TYPE_B,"부산 개명 비용|개명 법무사 비용|개명 수임료",/부산개명허가,/부산법무사비용,0
지급명령 비용,TYPE_B,"지급명령 비용|부산 지급명령 법무사 비용|지급명령 수임료",/부산법무사비용,existing civil hub,0
