check,before_production_first_crawl,after_seo_audit_master_user_run,notes
loading-before-H1_상담,false,false,재현 없음
loading-before-H1_등기,false,false,재현 없음
footer-before-main,false,false,전 URL false
H1 count P0,all 1,all 1,14 URL 전부 1
seoJargon_추천,true,false,「검색의도」 H2 제거 확인
상담 H2 선두,자세히 알아보기 | 상담 전 이것만…,어떤 문제로 상담하시나요? | 처음 알려주시면 되는 정보,행동 페이지 구조
상담 wordCount,2118,1464,중복 본문 축소
추천 H1,검색 전에 확인할 선택 기준,맡기기 전에 확인할 선택 기준,배포 반영
부동산 H2,신축·공공만,지금 필요한 등기가 어떤 건가요? 포함,내비게이터 배포 반영
HOME title/H1,부산 법무사 안윤정,동일 유지,PROTECT
기존 URL 변경,0,0,pathname 불변
기존 URL 삭제,0,0,1806 paths
Redirect,0,0,200 only
NAVER SERP,확인 불가,확인 불가,우회 없음
