term,url,business_intent,service_fit,existing_owner,current_performance,cannibalization_risk,recommended_action,new_primary_intent,service_destination,reason
상속등기,/glossary/inheritance-registration,88,95,/부산상속등기,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,상속등기 다음 절차,/부산상속등기,strong service owner exists; glossary is support noindex
상속포기,/glossary/inheritance-renunciation,92,95,/부산상속포기,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,상속포기 신청 전 확인,/부산상속포기,strong service owner exists; glossary is support noindex
한정승인,/glossary/qualified-acceptance,92,95,/부산한정승인,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,한정승인 신청 전 확인,/부산한정승인,strong service owner exists; glossary is support noindex
특별한정승인,/glossary/special-qualified-acceptance,86,90,/특별한정승인,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,상속포기 기한 지난 뒤,/특별한정승인,strong service owner exists; glossary is support noindex
상속재산분할협의서,/glossary/inheritance-division-agreement,84,92,/상속재산분할협의서준비,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,부동산을 한 명 앞으로 상속,/상속재산분할협의서준비,strong service owner exists; glossary is support noindex
유류분,/glossary/statutory-reserve-share,58,32,/유류분과상속등기,UNKNOWN,HIGH,REMOVE_FROM_DISCOVERY,유류분과 상속등기 관계,/유류분과상속등기,"definition/out-of-scope or fee-only; keep URL, hide from hub discovery"
법정상속순위,/glossary/legal-inheritance-order,48,72,/부산상속등기,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,상속인이 누구인지 확인,/부산상속등기,strong service owner exists; glossary is support noindex
대습상속,/glossary/subrogation-inheritance,78,90,/대습상속등기,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,자녀가 먼저 사망한 상속등기,/대습상속등기,strong service owner exists; glossary is support noindex
근저당,/glossary/mortgage,86,95,/부산근저당말소등기,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,대출 갚은 뒤 근저당 말소,/부산근저당말소등기,strong service owner exists; glossary is support noindex
가압류,/glossary/provisional-attachment,68,78,/부산가압류말소등기,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,등기부 가압류 말소,/부산가압류말소등기,strong service owner exists; glossary is support noindex
압류,/glossary/attachment,42,52,/부산압류말소등기,UNKNOWN,CRITICAL,REMOVE_FROM_DISCOVERY,등기부 압류 말소,/부산압류말소등기,"definition/out-of-scope or fee-only; keep URL, hide from hub discovery"
질권,/glossary/pledge,18,28,/법인등기,UNKNOWN,LOW,REMOVE_FROM_DISCOVERY,질권과 등기 실무 구분,/법인등기,"definition/out-of-scope or fee-only; keep URL, hide from hub discovery"
전세권,/glossary/jeonse-right,74,90,/부산전세권설정등기,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,전세권 설정·말소 확인,/부산전세권설정등기,strong service owner exists; glossary is support noindex
임차권등기명령,/glossary/lease-registration-order,94,95,/부산임차권등기명령,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,보증금 못 받고 이사할 때,/부산임차권등기명령,strong service owner exists; glossary is support noindex
소유권이전등기,/glossary/ownership-transfer-registration,90,95,/부산소유권이전등기,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,잔금일 소유권이전등기 서류,/부산소유권이전등기,strong service owner exists; glossary is support noindex
소유권보존등기,/glossary/ownership-preservation-registration,80,92,/미등기건물소유권보존등기,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,신축 소유권보존등기,/미등기건물소유권보존등기,strong service owner exists; glossary is support noindex
등록면허세,/glossary/registration-license-tax,28,48,/등록면허세,UNKNOWN,CRITICAL,REMOVE_FROM_DISCOVERY,등기 전 등록면허세,/등록면허세,"definition/out-of-scope or fee-only; keep URL, hide from hub discovery"
취득세,/glossary/acquisition-tax,36,52,/취득세,UNKNOWN,CRITICAL,REMOVE_FROM_DISCOVERY,상속·매매 취득세와 등기 순서,/취득세,"definition/out-of-scope or fee-only; keep URL, hide from hub discovery"
인지대,/glossary/stamp-duty,12,38,/부산지방법원지급명령,UNKNOWN,HIGH,REMOVE_FROM_DISCOVERY,법원 신청 인지대,/부산지방법원지급명령,"definition/out-of-scope or fee-only; keep URL, hide from hub discovery"
송달료,/glossary/service-fee,12,40,/부산개인회생,UNKNOWN,HIGH,REMOVE_FROM_DISCOVERY,법원 송달료,/부산개인회생,"definition/out-of-scope or fee-only; keep URL, hide from hub discovery"
지급명령,/glossary/payment-order,82,86,/부산지방법원지급명령,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,돈을 못 받았을 때 지급명령,/부산지방법원지급명령,strong service owner exists; glossary is support noindex
내용증명,/glossary/certified-mail,76,82,/내용증명작성준비,UNKNOWN,HIGH,SUPPORT_NOINDEX,보증금·대금 내용증명,/내용증명작성준비,strong service owner exists; glossary is support noindex
소장,/glossary/complaint,38,30,/민사소송,UNKNOWN,HIGH,REMOVE_FROM_DISCOVERY,소장과 지급명령 구분,/민사소송,"definition/out-of-scope or fee-only; keep URL, hide from hub discovery"
답변서,/glossary/answer-brief,38,30,/민사소송,UNKNOWN,HIGH,REMOVE_FROM_DISCOVERY,답변서 제출 기한,/민사소송,"definition/out-of-scope or fee-only; keep URL, hide from hub discovery"
개인회생,/glossary/personal-rehabilitation,90,95,/부산개인회생,UNKNOWN,CRITICAL,SUPPORT_NOINDEX,개인회생 신청 전 확인,/부산개인회생,strong service owner exists; glossary is support noindex
