keyword,cluster,expected_owner,naver_pc_rank,naver_mobile_rank,top5_pc,top5_mobile,observed_date,observation_method,confidence,competitor_urls,notes,status
부산 법무사,core,/,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 법무사 상담,core,/부산법무사상담,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 법무사 추천,core,/부산법무사추천,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 법무사 비용,core,/부산법무사비용,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 법무사 수수료,core,/부산법무사비용,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 법무사 보수,core,/부산법무사비용,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 등기 법무사,core,/부산등기법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 등기전문 법무사,core,/부산등기법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 상속 법무사,inheritance,/부산상속법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 상속전문 법무사,inheritance,/부산상속법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 법무사 상속,inheritance,/부산상속법무사,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 상속등기 법무사,inheritance,/부산상속등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 상속등기,inheritance,/부산상속등기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
부산 상속포기 법무사,inheritance,/부산상속포기,,,,,2026-09-03,no-serp-crawl,none,,네이버 SERP 자동수집 없음. 순위를 추정하지 않음.,SERP_UNVERIFIED
