QUERY,PRIMARY_URL,SECONDARY_URLS,RISK,ACTION
부산 법무사,/,/부산법무사,LOW,ownership lock 유지
부산 법무사 추천,/부산법무사추천,/부산법무사비교,LOW,유지
부산 가압류,/가압류신청서류준비,/민사소송 /부산가압류말소등기,MED→LOW,신청=서류페이지 PRIMARY / 말소=별도
부산 재산명시,/부산재산명시,/민사소송 /채권압류추심서류준비,LOW,NEW PRIMARY
부산 개명,/부산개명허가,/가족후견,LOW,개명신청 흡수
부산 한정후견,/가족후견,/성년후견자가진단 /부산가정법원성년후견,LOW,NEW 금지
부산 부재자재산관리인,/부산부재자재산관리인,/연락두절상속인 /부산상속재산관리인,LOW,상호 링크 분리
부산 상속재산관리인,/부산상속재산관리인,/상속 /연락두절상속인,LOW,상호 링크 분리
부산 유언검인,/부산유언검인,/상속 /전국유증등기,LOW,유언증서 검인 흡수
통장압류,/채권압류추심서류준비,/부산재산명시,LOW,keywords 흡수
