url,status,canonical,robots,sitemap,primary_query,secondary_queries,topic_cluster
/,200,/,"index,follow",true,부산 법무사,다옴법무사사무소|안윤정 법무사|상속등기,core-home
/1분간편상담,200,/1분간편상담,"index,follow",true,1분 간편 상담,법무사 상담|간편 상담,other
/가설컨테이너등기가능여부,200,/가설컨테이너등기가능여부,"index,follow",true,가설건축물 컨테이너 등기 가능 여부,컨테이너 건물등기|가설건축물 보존등기|임시건물 등기 여부|부산 컨테이너 등기|컨테이너 등기 되나요,other
/가압류신청서류준비,200,/가압류신청서류준비,"index,follow",true,가압류 신청 서류,가압류 신청 준비|보전처분 서류 정리|부산 가압류|부산 가압류 법무사|채권가압류,other
/가족후견,200,/가족후견,"index,follow",true,성년후견·가사비송｜가족·상속 특별대리,부산 법무사|해운대 법무사|센텀 법무사,other
/가처분신청서류준비,200,/가처분신청서류준비,"index,follow",true,가처분 신청 서류,가처분 신청 준비|점유이전금지가처분 서류,other
/감정평가법인설립등기,200,/감정평가법인설립등기,"index,follow",true,감정평가법인 설립등기,감정평가사법인 설립|감정법인 등기|감정평가법인 구성원 변경|감정평가법인 설립|감정법인 등기,corporate
/강사소개,200,/강사소개,"index,follow",true,법률 강사 프로필,안윤정 법무사 강사,lecture
/강서구공장멸실등기,200,/강서구공장멸실등기,"index,follow",true,강서구 공장 멸실등기,부산 강서 공장 철거등기|강서 산업단지 건물멸실|공장 부속동 멸실등기|강서구 창고 멸실|강서구 공장 멸실등기,other
/강서구법무사,200,/강서구법무사,"index,follow",true,강서구 법무사,강서 법무사|녹산 법무사|대저동 법무사|가락동 법무사|강서구 법무사 추천,local
/강서구법인등기,200,/강서구법인등기,"index,follow",true,강서구법인등기,강서구 법무사|법인등기|다옴법무사사무소,corporate
/강서구법인설립등기,200,/강서구법인설립등기,"index,follow",true,강서구법인설립등기,강서구 법무사|법인설립등기|다옴법무사사무소,corporate
/강서구부동산등기,200,/강서구부동산등기,"index,follow",true,강서구부동산등기,강서구 법무사|부동산등기|다옴법무사사무소,real-estate
/강서구상속등기,200,/강서구상속등기,"index,follow",true,강서구상속등기,강서구 법무사|상속등기|다옴법무사사무소,inheritance
/강서구상속포기,200,/강서구상속포기,"index,follow",true,강서구상속포기,강서구 법무사|상속포기|다옴법무사사무소,inheritance
/강서구선박등기,200,/강서구선박등기,"index,follow",true,강서구선박등기,강서구 법무사|선박등기|다옴법무사사무소,other
/강서구임원변경등기,200,/강서구임원변경등기,"index,follow",true,강서구임원변경등기,강서구 법무사|임원변경등기|다옴법무사사무소,corporate
/강서구한정승인,200,/강서구한정승인,"index,follow",true,강서구한정승인,강서구 법무사|한정승인|다옴법무사사무소,inheritance
/강의문의,200,/강의문의,"index,follow",true,부산 강의 문의,,lecture
/강의시간별구성,200,/강의시간별구성,"index,follow",true,1시간 특강 주제,2시간 참여형 교육|4시간 실무 워크숍|강의시간별 구성,lecture
/강의이력,200,/강의이력,"index,follow",true,안윤정 법무사 강의 경력,안윤정 법무사 강의 이력,lecture
/강의이력/busan-citizen-library-life-law,200,/강의이력/busan-citizen-library-life-law,"index,follow",true,부산광역시립시민도서관,부산광역시립시민도서관 생활법률 특강|전·월세계약|전세사기 예방|가족·금전·관계 분쟁|생활 속 범죄 예방,lecture
/강의이력/busan-citizen-library-week-1,200,/강의이력/busan-citizen-library-week-1,"index,follow",true,부산광역시립시민도서관,시민도서관 생활법률 1회차 · 전·월세계약|전·월세계약|계약 체크리스트|안윤정 법무사 강의,lecture
/강의이력/busan-citizen-library-week-2,200,/강의이력/busan-citizen-library-week-2,"index,follow",true,부산광역시립시민도서관,시민도서관 생활법률 2회차 · 생활 분쟁 예방|가족·금전·관계 분쟁|생활 분쟁 예방|안윤정 법무사 강의,lecture
/강의이력/busan-citizen-library-week-3,200,/강의이력/busan-citizen-library-week-3,"index,follow",true,부산광역시립시민도서관,시민도서관 생활법률 3회차 · 디지털·형사 예방|명예훼손·모욕|개인정보보호|온라인 범죄 예방|안윤정 법무사 강의,lecture
/강의이력/busan-citizen-library-week-4,200,/강의이력/busan-citizen-library-week-4,"index,follow",true,부산광역시립시민도서관,시민도서관 생활법률 4회차 · 종합 정리|전세사기 예방|생활법률 종합|체크리스트|안윤정 법무사 강의,lecture
/강의이력/busan-self-support-daily-dispute-survival,200,/강의이력/busan-self-support-daily-dispute-survival,"index,follow",true,부산광역시 자립지원전담기관,부산광역시 자립지원전담기관 일상분쟁 생존법 특강|일상분쟁|생활법률|계약|분쟁 예방,lecture
