url,pageTitle,representativeImage,cardImage,cardHeadline,category,portrait,alt
/services,"업무 안내",/generated/serp/services/services-hub.jpg,/generated/cards/services/services-hub.webp,"어떤 등기부터\n확인할까",services,portrait-studio-01,"업무 안내를 안내하는 안윤정 법무사"
/services/inheritance-registration,"상속등기",/generated/serp/inheritance/inheritance-registration.jpg,/generated/cards/inheritance/inheritance-registration.webp,"부모님 집,\n어떻게 상속할까",inheritance,portrait-docs-01,"상속등기를 안내하는 안윤정 법무사"
/services/inheritance-renunciation,"상속포기",/generated/serp/inheritance/inheritance-renunciation.jpg,/generated/cards/inheritance/inheritance-renunciation.webp,"상속포기,\n언제까지?",inheritance,portrait-consult-01,"상속포기를 안내하는 안윤정 법무사"
/services/qualified-acceptance,"한정승인",/generated/serp/inheritance/qualified-acceptance.jpg,/generated/cards/inheritance/qualified-acceptance.webp,"빚까지\n상속될까?",inheritance,portrait-desk-front-01,"한정승인를 안내하는 안윤정 법무사"
/services/real-estate-registration,"부동산등기",/generated/serp/realestate/real-estate-registration.jpg,/generated/cards/realestate/real-estate-registration.webp,"잔금일,\n등기는 어떻게?",realestate,portrait-registry-01,"부동산등기를 안내하는 안윤정 법무사"
/services/ownership-transfer,"소유권이전등기",/generated/serp/realestate/ownership-transfer.jpg,/generated/cards/realestate/ownership-transfer.webp,"명의이전,\n무엇부터 할까",realestate,portrait-writing-01,"소유권이전등기를 안내하는 안윤정 법무사"
/services/corporate-registration,"법인등기",/generated/serp/corporate/corporate-registration.jpg,/generated/cards/corporate/corporate-registration.webp,"회사 등기,\n어디에 손댈까",corporate,portrait-corporate-01,"법인등기를 안내하는 안윤정 법무사"
/services/company-establishment,"법인설립",/generated/serp/corporate/company-establishment.jpg,/generated/cards/corporate/company-establishment.webp,"법인설립,\n무엇부터?",corporate,portrait-studio-01,"법인설립를 안내하는 안윤정 법무사"
/services/director-change,"임원변경",/generated/serp/corporate/director-change.jpg,/generated/cards/corporate/director-change.webp,"임원 임기가\n끝났다면",corporate,portrait-corporate-01,"임원변경를 안내하는 안윤정 법무사"
/services/personal-rehabilitation,"개인회생",/generated/serp/rehabilitation/personal-rehabilitation.jpg,/generated/cards/rehabilitation/personal-rehabilitation.webp,"빚을 감당하기\n어렵다면",rehabilitation,portrait-phone-01,"개인회생를 안내하는 안윤정 법무사"
/services/bankruptcy,"개인파산",/generated/serp/rehabilitation/bankruptcy.jpg,/generated/cards/rehabilitation/bankruptcy.webp,"개인파산,\n가능할까?",rehabilitation,portrait-desk-front-01,"개인파산를 안내하는 안윤정 법무사"
/부산법무사,"부산 법무사",/generated/serp/local/busan-attorney.jpg,/generated/cards/local/busan-attorney.webp,"가까운 곳에서\n법무사가 필요할 때",local,portrait-studio-01,"부산 법무사를 안내하는 안윤정 법무사"
/부산상속법무사,"부산 상속 법무사",/generated/serp/inheritance/busan-inheritance-hub.jpg,/generated/cards/inheritance/busan-inheritance-hub.webp,"상속 절차,\n어디서부터 볼까",inheritance,portrait-consult-01,"부산 상속 법무사를 안내하는 안윤정 법무사"
/부산상속등기,"부산 상속등기",/generated/serp/inheritance/busan-inheritance-registration.jpg,/generated/cards/inheritance/busan-inheritance-registration.webp,"상속등기,\n무엇부터 할까",inheritance,portrait-registry-01,"부산 상속등기를 안내하는 안윤정 법무사"
/부산상속포기,"부산 상속포기",/generated/serp/inheritance/busan-inheritance-renunciation.jpg,/generated/cards/inheritance/busan-inheritance-renunciation.webp,"3개월이\n지났다면",inheritance,portrait-docs-01,"부산 상속포기를 안내하는 안윤정 법무사"
/부산한정승인,"부산 한정승인",/generated/serp/inheritance/busan-qualified-acceptance.jpg,/generated/cards/inheritance/busan-qualified-acceptance.webp,"재산과 채무,\n함께 본다면",inheritance,portrait-desk-front-01,"부산 한정승인를 안내하는 안윤정 법무사"
/특별한정승인,"특별한정승인",/generated/serp/inheritance/special-qualified-acceptance.jpg,/generated/cards/inheritance/special-qualified-acceptance.webp,"뒤늦게 빚을\n알았다면",inheritance,portrait-phone-01,"특별한정승인를 안내하는 안윤정 법무사"
/상속재산분할협의서준비,"상속재산 분할협의",/generated/serp/inheritance/inheritance-division.jpg,/generated/cards/inheritance/inheritance-division.webp,"상속인끼리\n나눌 때",inheritance,portrait-consult-01,"상속재산 분할협의를 안내하는 안윤정 법무사"
/대습상속등기,"대습상속등기",/generated/serp/inheritance/subrogation-inheritance.jpg,/generated/cards/inheritance/subrogation-inheritance.webp,"대습상속,\n무엇부터 볼까",inheritance,portrait-writing-01,"대습상속등기를 안내하는 안윤정 법무사"
/사망자재산채무조회,"재산·채무 조회",/generated/serp/inheritance/assets-debts-lookup.jpg,/generated/cards/inheritance/assets-debts-lookup.webp,"상속 결정 전\n확인할 것",inheritance,portrait-docs-01,"재산·채무 조회를 안내하는 안윤정 법무사"
/부산등기법무사,"부산 등기 법무사",/generated/serp/realestate/busan-registry-attorney.jpg,/generated/cards/realestate/busan-registry-attorney.webp,"등기가 필요할 때\n먼저 볼 것",realestate,portrait-registry-01,"부산 등기 법무사를 안내하는 안윤정 법무사"
/부산부동산등기,"부산 부동산등기",/generated/serp/realestate/busan-real-estate.jpg,/generated/cards/realestate/busan-real-estate.webp,"부동산 등기,\n상황별로 보면",realestate,portrait-writing-01,"부산 부동산등기를 안내하는 안윤정 법무사"
/부산소유권이전등기,"부산 소유권이전등기",/generated/serp/realestate/busan-ownership-transfer.jpg,/generated/cards/realestate/busan-ownership-transfer.webp,"잔금 날,\n명의는 어떻게",realestate,portrait-corporate-01,"부산 소유권이전등기를 안내하는 안윤정 법무사"
/부산증여등기,"부산 증여등기",/generated/serp/realestate/busan-gift-registration.jpg,/generated/cards/realestate/busan-gift-registration.webp,"부모님 집을\n증여한다면",realestate,portrait-desk-front-01,"부산 증여등기를 안내하는 안윤정 법무사"
/부산근저당설정등기,"부산 근저당설정등기",/generated/serp/realestate/busan-mortgage-set.jpg,/generated/cards/realestate/busan-mortgage-set.webp,"대출을 받을 때\n근저당은",realestate,portrait-writing-01,"부산 근저당설정등기를 안내하는 안윤정 법무사"
/부산근저당말소등기,"부산 근저당말소등기",/generated/serp/realestate/busan-mortgage-release.jpg,/generated/cards/realestate/busan-mortgage-release.webp,"대출은 갚았는데\n근저당은 그대로?",realestate,portrait-docs-01,"부산 근저당말소등기를 안내하는 안윤정 법무사"
/부산전세권설정등기,"부산 전세권설정등기",/generated/serp/lease/busan-jeonse-set.jpg,/generated/cards/lease/busan-jeonse-set.webp,"전세 계약,\n등기로 남긴다면",lease,portrait-consult-01,"부산 전세권설정등기를 안내하는 안윤정 법무사"
/부산전세권말소등기,"부산 전세권말소등기",/generated/serp/lease/busan-jeonse-release.jpg,/generated/cards/lease/busan-jeonse-release.webp,"이사할 때\n전세권은",lease,portrait-phone-01,"부산 전세권말소등기를 안내하는 안윤정 법무사"
/부산신축건물보존등기,"부산 신축건물 보존등기",/generated/serp/realestate/busan-building-preservation.jpg,/generated/cards/realestate/busan-building-preservation.webp,"신축건물,\n첫 등기는?",realestate,portrait-registry-01,"부산 신축건물 보존등기를 안내하는 안윤정 법무사"
/부산법인법무사,"부산 법인 법무사",/generated/serp/corporate/busan-corporate-hub.jpg,/generated/cards/corporate/busan-corporate-hub.webp,"회사 등기,\n함께 보면",corporate,portrait-corporate-01,"부산 법인 법무사를 안내하는 안윤정 법무사"
/부산법인등기,"부산 법인등기",/generated/serp/corporate/busan-corporate-registration.jpg,/generated/cards/corporate/busan-corporate-registration.webp,"법인등기,\n어떤 변경일까",corporate,portrait-corporate-01,"부산 법인등기를 안내하는 안윤정 법무사"
/부산법인설립등기,"부산 법인설립등기",/generated/serp/corporate/busan-company-establishment.jpg,/generated/cards/corporate/busan-company-establishment.webp,"회사를 만들 때\n확인할 순서",corporate,portrait-desk-front-01,"부산 법인설립등기를 안내하는 안윤정 법무사"
/부산임원변경등기,"부산 임원변경등기",/generated/serp/corporate/busan-director-change.jpg,/generated/cards/corporate/busan-director-change.webp,"대표이사가\n바뀐다면",corporate,portrait-writing-01,"부산 임원변경등기를 안내하는 안윤정 법무사"
/부산본점이전등기,"부산 본점이전등기",/generated/serp/corporate/busan-head-office-move.jpg,/generated/cards/corporate/busan-head-office-move.webp,"회사 주소를\n옮긴다면",corporate,portrait-docs-01,"부산 본점이전등기를 안내하는 안윤정 법무사"
/부산사업목적변경등기,"부산 사업목적변경등기",/generated/serp/corporate/busan-purpose-change.jpg,/generated/cards/corporate/busan-purpose-change.webp,"사업 목적을\n바꿀 때",corporate,portrait-consult-01,"부산 사업목적변경등기를 안내하는 안윤정 법무사"
/부산유상증자등기,"부산 유상증자등기",/generated/serp/corporate/busan-capital-increase.jpg,/generated/cards/corporate/busan-capital-increase.webp,"투자금을\n받으려 한다면",corporate,portrait-corporate-01,"부산 유상증자등기를 안내하는 안윤정 법무사"
/부산법인해산청산등기,"부산 법인해산·청산등기",/generated/serp/corporate/busan-dissolution-liquidation.jpg,/generated/cards/corporate/busan-dissolution-liquidation.webp,"법인을\n정리하려 한다면",corporate,portrait-phone-01,"부산 법인해산·청산등기를 안내하는 안윤정 법무사"
/법률강의,"법률 강의",/generated/serp/lecture/lecture-hub.jpg,/generated/cards/lecture/lecture-hub.webp,"함께 살펴볼\n강의 주제",lecture,portrait-studio-01,"법률 강의를 안내하는 안윤정 법무사"
/전세사기예방교육,"전세사기 예방 교육",/generated/serp/lecture/jeonse-prevention.jpg,/generated/cards/lecture/jeonse-prevention.webp,"계약 전\n확인할 것",lecture,portrait-consult-01,"전세사기 예방 교육를 안내하는 안윤정 법무사"
