url,title,h1,description,primaryIntent,audience,topic,region,mainTextChars,first700,verifiedLectureCount,imageCount,ogImage,incomingLinks,outgoingLinks,sitemap,indexable
/법률강의,부산 법률 강의·특강 | 안윤정 법무사,부산 법률 강의·특강 | 안윤정 법무사 출강 안내,안윤정 법무사의 부산 법률 강의·특강. 생활법률·전세사기·청년·창업 교육. 공공기관·도서관·기업·학교 출강. 확인된 이력과 문의 안내. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,LECTURE_PILLAR_HUB,GENERAL,LAW,BUSAN,5694,부산 법률 강의·특강 | 안윤정 법무사 본문 바로가기 다옴법무사사무소 안윤정 법무사 법무사 소개 사무소 업무안내 협업문의 업무 사례 강의·특강 자가진단 상황별 안내 법률 계산기 부산 법률지도 업무 용어 블로그 언론·활동 고객후기 FAQ 공지사항 상담 문의 오시는 길 톡 상담 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 안윤정 법무사에게 바로 상담하기 약 1분이면 상담 신청을 남길 수 있습니다. 지금 알고 계신 상황만 알려주셔도 필요한 순서부터 정리해 드립니다. 카카오톡 채널로 바로 연결 네이버 톡톡 톡톡으로 문의 전화 상담 010-4277-1279 1분만에 문의하기 상황만 적어 보내기 네이버 예약 방문 상담은 네이버에서 일정을 확인할 수 있습니다 상담 안내 보기 홈 / 부산 법률 강의·특강 강의·특강 안내 부산 법률 강의·특강 | 안윤정 법무사 출강 안내 안윤정 법무사가 생활법률·전세사기·창업·청년 법률교육을 부산 중심으로 출강합니다. 공공기관·도서관·기업·학교·청년·복지기관 담당자가 주제와 이력을 고른 뒤 문의하시면 됩니다. 강의 가능 일정 문의 강사 프로필 확인 법정 지정교육(청렴·성희롱예방·산업안전 등)은 안내 범위에 넣지 않습니다. 마케팅·리더십·AI처럼 법무사 업무와 무관,,8,https://xn--2j1br1na42lvxja38mk8r.kr/generated/serp/lecture/lecture-hub.jpg,,125,yes,yes
/부산법률강사,부산 강사 초빙｜기관·기업·청년 대상 특강·강연,부산에서 특강·강연 강사를 찾고 계신가요?,"부산에서 기관·기업·청년·시민 교육용 외부강사·특강·강연을 찾을 때, 안윤정 법무사의 확인된 출강 이력·대상별 주제·시간 구성·준비 절차를 안내합니다. 법정의무교육은 범위에 넣지 않습니다.",HIRING_LOCAL,GENERAL,OTHER,BUSAN,9190,"부산 강사 초빙｜기관·기업·청년 대상 특강·강연 본문 바로가기 다옴법무사사무소 안윤정 법무사 법무사 소개 사무소 업무안내 협업문의 업무 사례 강의·특강 자가진단 상황별 안내 법률 계산기 부산 법률지도 업무 용어 블로그 언론·활동 고객후기 FAQ 공지사항 상담 문의 오시는 길 톡 상담 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 안윤정 법무사에게 바로 상담하기 약 1분이면 상담 신청을 남길 수 있습니다. 지금 알고 계신 상황만 알려주셔도 필요한 순서부터 정리해 드립니다. 카카오톡 채널로 바로 연결 네이버 톡톡 톡톡으로 문의 전화 상담 010-4277-1279 1분만에 문의하기 상황만 적어 보내기 네이버 예약 방문 상담은 네이버에서 일정을 확인할 수 있습니다 상담 안내 보기 홈 / 법률 강의 / 부산 강사·특강·강연 출강 부산 강사 · 특강 · 강연 부산에서 특강·강연 강사를 찾고 계신가요? 부산에서 외부 강사를 찾는 기관 담당자라면 강사의 직함보다 먼저 ‘우리 교육대상에게 실제로 필요한 이야기를 할 수 있는가’를 확인하게 됩니다. 청년에게는 주거·계약·금전거래가, 창업자에게는 계약·법인·미수금이, 시민에게는 상속·전세·생활분쟁이 더 직접적인 주제가 될 수 있습니다. 특강 구성 문의 ",,27,https://xn--2j1br1na42lvxja38mk8r.kr/image/%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC-%25EB%2593%25B1%25EA%25B8%25B0%25ED%2595%2584%25EC%25A6%259D_%25EC%2583%2581%25EC%2586%258D.jpg,,123,yes,yes
/전세사기예방교육,부산 전세사기 예방교육 | 청년·기관 법률특강,"부산 전세사기 예방교육, 계약 전에 확인할 것","부산 전세사기 예방교육. 계약 전 확인, 등기부, 확정일자, 보증·특약을 사례로 안내합니다. 청년·기관 특강. 안윤정 법무사. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.",JEONSE,YOUTH,HOUSING,BUSAN,4426,"부산 전세사기 예방교육 | 청년·기관 법률특강 본문 바로가기 다옴법무사사무소 안윤정 법무사 법무사 소개 사무소 업무안내 협업문의 업무 사례 강의·특강 자가진단 상황별 안내 법률 계산기 부산 법률지도 업무 용어 블로그 언론·활동 고객후기 FAQ 공지사항 상담 문의 오시는 길 톡 상담 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 안윤정 법무사에게 바로 상담하기 약 1분이면 상담 신청을 남길 수 있습니다. 지금 알고 계신 상황만 알려주셔도 필요한 순서부터 정리해 드립니다. 카카오톡 채널로 바로 연결 네이버 톡톡 톡톡으로 문의 전화 상담 010-4277-1279 1분만에 문의하기 상황만 적어 보내기 네이버 예약 방문 상담은 네이버에서 일정을 확인할 수 있습니다 상담 안내 보기 홈 / 법률 강의 / 부산 전세사기 예방교육 주거·임대차 예방교육 부산 전세사기 예방교육, 계약 전에 확인할 것 계약 전에 무엇을 확인해야 하는지를 체크리스트와 사례로 정리하는 특강입니다. 이 주제 문의하기 강의 이력 보기 부산광역시 자립지원전담기관 전세사기 예방 특강 등 실제 강의 이력을 바탕으로 구성을 안내합니다. 공식 예방교육을 대체한다고 보지 마시고, 생활법률·실무 예방 관점의 교육으로 이해해 주세요. 추천 ",,6,https://xn--2j1br1na42lvxja38mk8r.kr/generated/serp/lecture/jeonse-prevention.jpg,,88,yes,yes
/청년생활법률특강,부산 청년 법률교육 | 주거·계약 특강,"부산 청년 법률교육, 주거와 계약에서 확인할 것",부산 청년·사회초년생 법률교육. 주거·전세·금전거래·계약을 사례로 안내합니다. 청년센터·자립 프로그램 출강. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,YOUTH,YOUTH,LAW,BUSAN,3984,"부산 청년 법률교육 | 주거·계약 특강 본문 바로가기 다옴법무사사무소 안윤정 법무사 법무사 소개 사무소 업무안내 협업문의 업무 사례 강의·특강 자가진단 상황별 안내 법률 계산기 부산 법률지도 업무 용어 블로그 언론·활동 고객후기 FAQ 공지사항 상담 문의 오시는 길 톡 상담 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 안윤정 법무사에게 바로 상담하기 약 1분이면 상담 신청을 남길 수 있습니다. 지금 알고 계신 상황만 알려주셔도 필요한 순서부터 정리해 드립니다. 카카오톡 채널로 바로 연결 네이버 톡톡 톡톡으로 문의 전화 상담 010-4277-1279 1분만에 문의하기 상황만 적어 보내기 네이버 예약 방문 상담은 네이버에서 일정을 확인할 수 있습니다 상담 안내 보기 홈 / 법률 강의 / 부산 청년 법률교육 청년센터 · 자립 · 사회초년생 부산 청년 법률교육, 주거와 계약에서 확인할 것 청년이 실제로 겪는 주거·금전·계약 상황에서 질문을 모아, 어렵지 않은 설명으로 확인 순서를 남기는 특강입니다. 청년센터·자립지원·대학 프로그램에 맞춰 시간을 조정합니다. 이 주제 문의하기 강의 이력 보기 처음 독립할 때 확인할 임대차계약, 전세사기와 등기부등본, 가족·친구 사이 돈거래, 취업·창업 과정",,5,https://xn--2j1br1na42lvxja38mk8r.kr/image/%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC-%25EB%2593%25B1%25EA%25B8%25B0%25EC%2586%258C.jpg,,89,yes,yes
/창업법률교육,부산 창업 법률교육 | 예비창업자·기관 특강,"부산 창업 법률교육, 예비창업자가 놓치기 쉬운 실무","부산 예비창업자·초기기업 법률교육. 개인·법인, 동업 합의, 거래계약·미수금 기초. 세무·노무·투자유치는 다루지 않습니다. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.",STARTUP,CORPORATE,STARTUP,BUSAN,3799,"부산 창업 법률교육 | 예비창업자·기관 특강 본문 바로가기 다옴법무사사무소 안윤정 법무사 법무사 소개 사무소 업무안내 협업문의 업무 사례 강의·특강 자가진단 상황별 안내 법률 계산기 부산 법률지도 업무 용어 블로그 언론·활동 고객후기 FAQ 공지사항 상담 문의 오시는 길 톡 상담 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 안윤정 법무사에게 바로 상담하기 약 1분이면 상담 신청을 남길 수 있습니다. 지금 알고 계신 상황만 알려주셔도 필요한 순서부터 정리해 드립니다. 카카오톡 채널로 바로 연결 네이버 톡톡 톡톡으로 문의 전화 상담 010-4277-1279 1분만에 문의하기 상황만 적어 보내기 네이버 예약 방문 상담은 네이버에서 일정을 확인할 수 있습니다 상담 안내 보기 홈 / 법률 강의 / 부산 창업 법률교육 창업지원 · 예비창업 · 초기기업 부산 창업 법률교육, 예비창업자가 놓치기 쉬운 실무 사업 시작 단계에서 대표자가 결정해야 할 상호·목적·자본·임원, 계약과 미수금, 법인설립 이후 변경등기처럼 놓치기 쉬운 실무를 사례로 정리합니다. 이 주제 문의하기 강의 이력 보기 법무사 법인등기 실무와 해운대청년채움공간 창업법률 특강 등 확인된 이력을 바탕으로, 예방교육 범위에서 안내합니다.",,4,https://xn--2j1br1na42lvxja38mk8r.kr/image/%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC-%25EC%259E%2591%25EC%2584%25B1%25EC%25A4%2591.png,,86,yes,yes
/기업법률교육,부산 기업 특강 | 계약·채권·법인 실무 법률교육 - 안윤정 법무사,"부산 기업 법률특강, 임직원이 놓치기 쉬운 실무부터","부산 기업 법률특강. 계약 체결 전 확인, 미수금·증거관리, 법인등기 기한을 임직원 사례 중심으로 구성합니다. 리더십·마케팅 강의가 아니며 법정 지정교육은 포함하지 않습니다.",CORPORATE,CORPORATE,CONTRACT,BUSAN,5409,"부산 기업 특강 | 계약·채권·법인 실무 법률교육 - 안윤정 법무사 본문 바로가기 다옴법무사사무소 안윤정 법무사 법무사 소개 사무소 업무안내 협업문의 업무 사례 강의·특강 자가진단 상황별 안내 법률 계산기 부산 법률지도 업무 용어 블로그 언론·활동 고객후기 FAQ 공지사항 상담 문의 오시는 길 톡 상담 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 안윤정 법무사에게 바로 상담하기 약 1분이면 상담 신청을 남길 수 있습니다. 지금 알고 계신 상황만 알려주셔도 필요한 순서부터 정리해 드립니다. 카카오톡 채널로 바로 연결 네이버 톡톡 톡톡으로 문의 전화 상담 010-4277-1279 1분만에 문의하기 상황만 적어 보내기 네이버 예약 방문 상담은 네이버에서 일정을 확인할 수 있습니다 상담 안내 보기 홈 / 법률 강의 / 부산 기업 특강 부산 기업 특강 · 계약·채권·법인 실무 부산 기업 법률특강, 임직원이 놓치기 쉬운 실무부터 계약·미수금·증거관리·법인 실무를 임직원이 실제 업무에서 놓치기 쉬운 사례 중심으로 정리합니다. 안윤정 법무사가 법무사 실무와 확인된 기업·창업 협업을 바탕으로 구성합니다. 기업 특강 문의 강의 주제 보기 기업 담당자가 찾는 것은 슬로건이 아니라, 직원이 계약서에 서",,3,https://xn--2j1br1na42lvxja38mk8r.kr/image/%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC-%25EA%25B3%2584%25EC%2595%25BD%25EC%259E%2584%25EC%259B%2590.jpg,,89,yes,yes
/강사소개,안윤정 법무사 강사 소개 | 법률특강 프로필,안윤정 법무사 강사 소개,"안윤정 법무사 강사 소개. 현직 법무사 실무, 확인된 기관 출강, 대상별 커리큘럼 구성. 생활법률·전세사기·청년·창업 교육. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.",SPEAKER_PROFILE,GENERAL,OTHER,NONE,5546,"안윤정 법무사 강사 소개 | 법률특강 프로필 본문 바로가기 다옴법무사사무소 안윤정 법무사 법무사 소개 사무소 업무안내 협업문의 업무 사례 강의·특강 자가진단 상황별 안내 법률 계산기 부산 법률지도 업무 용어 블로그 언론·활동 고객후기 FAQ 공지사항 상담 문의 오시는 길 톡 상담 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 안윤정 법무사에게 바로 상담하기 약 1분이면 상담 신청을 남길 수 있습니다. 지금 알고 계신 상황만 알려주셔도 필요한 순서부터 정리해 드립니다. 카카오톡 채널로 바로 연결 네이버 톡톡 톡톡으로 문의 전화 상담 010-4277-1279 1분만에 문의하기 상황만 적어 보내기 네이버 예약 방문 상담은 네이버에서 일정을 확인할 수 있습니다 상담 안내 보기 홈 / 법률 강의 / 안윤정 법무사 강사 소개 확인된 출강 · 기관용 강사 프로필 안윤정 법무사 강사 소개 현직 법무사로서 법률 실무와 교육 경험을 바탕으로, 공공기관·도서관·청년기관·학교 대상 생활법률 특강을 구성합니다. 확인된 출강 이력만 공개합니다. 강의 가능 일정 문의 네이버 예약 강의 이력 보기 확인된 강의 22회 출강 기관 9곳 대상 유형 12종 활동 지역 3곳 자격 법무사 · 공인중개사 · 신용관리사 · ",,29,https://xn--2j1br1na42lvxja38mk8r.kr/image/%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC-%25EB%2593%25B1%25EA%25B8%25B0%25ED%2595%2584%25EC%25A6%259D_%25EC%2583%2581%25EC%2586%258D.jpg,,116,yes,yes
/강의문의,부산 강의 문의 | 특강·출강 안내,부산 강의·특강 문의,부산 강의·특강·출강 문의. 공공기관·기업·도서관·청년기관·학교 담당자용. 생활법률·전세사기·창업 특강을 대상과 시간에 맞춰 구성합니다. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,INQUIRY,GENERAL,OTHER,BUSAN,3805,"부산 강의 문의 | 특강·출강 안내 본문 바로가기 다옴법무사사무소 안윤정 법무사 법무사 소개 사무소 업무안내 협업문의 업무 사례 강의·특강 자가진단 상황별 안내 법률 계산기 부산 법률지도 업무 용어 블로그 언론·활동 고객후기 FAQ 공지사항 상담 문의 오시는 길 톡 상담 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 안윤정 법무사에게 바로 상담하기 약 1분이면 상담 신청을 남길 수 있습니다. 지금 알고 계신 상황만 알려주셔도 필요한 순서부터 정리해 드립니다. 카카오톡 채널로 바로 연결 네이버 톡톡 톡톡으로 문의 전화 상담 010-4277-1279 1분만에 문의하기 상황만 적어 보내기 네이버 예약 방문 상담은 네이버에서 일정을 확인할 수 있습니다 상담 안내 보기 홈 / 법률 강의 / 부산 강의 문의 출강·특강 문의 부산 강의·특강 문의 공공기관·기업·도서관·청년기관·학교에서 생활법률·전세사기·창업법률 특강이 필요할 때, 안윤정 법무사가 대상과 시간에 맞춰 구성합니다. 문의 작성하기 네이버 예약 강의 이력 보기 확인된 강의 22회 출강 기관 9곳 대상 유형 12종 활동 지역 3곳 필수 연락처 · 교육 대상 · 희망 주제 선택 기관명 · 일정 · 인원 · 강의계획서 요청 다음 단계 메일 ",,3,https://xn--2j1br1na42lvxja38mk8r.kr/image/%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC-%25EB%2593%25B1%25EA%25B8%25B0%25ED%2595%2584%25EC%25A6%259D_%25EC%2583%2581%25EC%2586%258D.jpg,,87,yes,yes
/디지털법률교육,부산 디지털 법률교육｜개인정보·명예훼손·온라인 범죄 예방특강,부산 디지털 법률교육｜온라인 활동에서 꼭 알아야 할 법률 기준,부산 디지털 법률교육. SNS·개인정보·온라인 사기 예방을 생활법률 관점으로 안내합니다. 공식 예방교육 대체 아님. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,,,,,4118,부산 디지털 법률교육｜개인정보·명예훼손·온라인 범죄 예방특강 본문 바로가기 다옴법무사사무소 안윤정 법무사 법무사 소개 사무소 업무안내 협업문의 업무 사례 강의·특강 자가진단 상황별 안내 법률 계산기 부산 법률지도 업무 용어 블로그 언론·활동 고객후기 FAQ 공지사항 상담 문의 오시는 길 톡 상담 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 안윤정 법무사에게 바로 상담하기 약 1분이면 상담 신청을 남길 수 있습니다. 지금 알고 계신 상황만 알려주셔도 필요한 순서부터 정리해 드립니다. 카카오톡 채널로 바로 연결 네이버 톡톡 톡톡으로 문의 전화 상담 010-4277-1279 1분만에 문의하기 상황만 적어 보내기 네이버 예약 방문 상담은 네이버에서 일정을 확인할 수 있습니다 상담 안내 보기 홈 / 법률 강의 / 부산 디지털 법률교육 디지털·온라인 예방 부산 디지털 법률교육｜온라인 활동에서 꼭 알아야 할 법률 기준 게시글·채팅·거래·AI 사용에서 생길 수 있는 법적 리스크를 예방 관점으로 안내합니다. 이 주제 문의하기 강의 이력 보기 청년 대상 ‘온라인 세상에서 살아남기’ 특강 등 관련 이력의 연장선에서 구성합니다. 디지털 성범죄 전문자격 교육이나 수사기관 공식 교육을 대체하지 않습니다. ,,6,https://xn--2j1br1na42lvxja38mk8r.kr/image/%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC-%25EB%2593%25B1%25EA%25B8%25B0%25EC%2586%258C.jpg,,86,yes,yes
/학교법률교육,부산 학교·대학 법률교육｜청소년·대학생 생활법률 특강,부산 학교·대학 법률교육｜학생 눈높이에 맞춘 사례 중심 특강,부산 학교·대학 법률교육. 학생 눈높이 생활법률·진로특강. 양산제일고 진로특강 등 이력 기반. 해운대·센텀 다옴법무사사무소에서 전화·카카오톡·방문(예약) 상담이 가능합니다.,SCHOOL_EDU,HIGH_SCHOOL,CAREER,BUSAN,3826,"부산 학교·대학 법률교육｜청소년·대학생 생활법률 특강 본문 바로가기 다옴법무사사무소 안윤정 법무사 법무사 소개 사무소 업무안내 협업문의 업무 사례 강의·특강 자가진단 상황별 안내 법률 계산기 부산 법률지도 업무 용어 블로그 언론·활동 고객후기 FAQ 공지사항 상담 문의 오시는 길 톡 상담 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 현재 카카오·네이버톡톡만 가능 전화상담은 일요일 9시부터 가능 · 지금 메시지 주시면 확인해 드려요 안윤정 법무사에게 바로 상담하기 약 1분이면 상담 신청을 남길 수 있습니다. 지금 알고 계신 상황만 알려주셔도 필요한 순서부터 정리해 드립니다. 카카오톡 채널로 바로 연결 네이버 톡톡 톡톡으로 문의 전화 상담 010-4277-1279 1분만에 문의하기 상황만 적어 보내기 네이버 예약 방문 상담은 네이버에서 일정을 확인할 수 있습니다 상담 안내 보기 홈 / 법률 강의 / 부산 학교·대학 법률교육 초·중·고·대학·학부모·교직원 부산 학교·대학 법률교육｜학생 눈높이에 맞춘 사례 중심 특강 연령에 맞는 사례로 생활법률과 진로 이야기를 전달합니다. 이 주제 문의하기 강의 이력 보기 양산제일고 법무사 진로특강 등 학교 출강 이력이 있으며, 부산·인근 학교 일정은 협의합니다. 모듈 생활법률 · 온라인 · 주거(대학) · 진로 확인된 이력 양산제일고 법무사 진로특강 ",,4,https://xn--2j1br1na42lvxja38mk8r.kr/image/%25EC%258D%25B8%25EB%2584%25A4%25EC%259D%25BC-%25EB%2593%25B1%25EA%25B8%25B0%25ED%2595%2584%25EC%25A6%259D_%25EC%2583%2581%25EC%2586%258D.jpg,,87,yes,yes
