query,expectedOwner,internalRank1,score,pass,note
부산 상속전문 법무사,/부산상속법무사,/부산상속법무사,160,PASS,내부 텍스트 신호 기준. 네이버 순위가 아님.
부산 상속 전문 법무사,/부산상속법무사,/부산상속법무사,196,PASS,내부 텍스트 신호 기준. 네이버 순위가 아님.
부산 상속 법무사,/부산상속법무사,/부산상속법무사,266,PASS,내부 텍스트 신호 기준. 네이버 순위가 아님.
부산 법무사 상속,/부산상속법무사,/부산상속법무사,176,PASS,내부 텍스트 신호 기준. 네이버 순위가 아님.
부산 상속포기 법무사,/부산상속포기,/부산상속포기,262,PASS,내부 텍스트 신호 기준. 네이버 순위가 아님.
부산 상속포기,/부산상속포기,/부산상속포기,230,PASS,내부 텍스트 신호 기준. 네이버 순위가 아님.
부산 한정승인 법무사,/부산한정승인,/부산한정승인,254,PASS,내부 텍스트 신호 기준. 네이버 순위가 아님.
부산 한정승인,/부산한정승인,/부산한정승인,234,PASS,내부 텍스트 신호 기준. 네이버 순위가 아님.
부산 상속등기 법무사,/부산상속등기,/부산상속등기,266,PASS,내부 텍스트 신호 기준. 네이버 순위가 아님.
부산 상속등기,/부산상속등기,/부산상속등기,234,PASS,내부 텍스트 신호 기준. 네이버 순위가 아님.
부산 법무사 상담,/부산법무사상담,/부산법무사상담,266,PASS,내부 텍스트 신호 기준. 네이버 순위가 아님.
부산 법무사,/,/,262,PASS,내부 텍스트 신호 기준. 네이버 순위가 아님.
