query,observedRank,resultType,domain,url,title,snippet,brand,checkedAt
부산 상속 법무사,3,WEB_SITE,greeda.co.kr,https://greeda.co.kr/,(추정) 부산 상속·등기 법률 서비스,변호사·법무팀 상속 절차 안내,그리다,2026-09-25T23:52:00+09:00
부산 상속 법무사,5,WEB_SITE,hero-law.co.kr,https://hero-law.co.kr/,(추정) 부산 상속 전문 로펌,상속등기·분쟁·세무 연계 소개,히어로,2026-09-25T23:52:00+09:00
부산 상속 법무사,7,WEB_SITE,bms-sangsok.com,https://bms-sangsok.com/,김정민 법무사｜부산 상속,상속등기·포기·한정승인 실무,김정민법무사,2026-09-25T23:52:00+09:00
부산 상속 법무사,9,WEB_SITE,다옴법무사사무소.kr,https://다옴법무사사무소.kr/부산상속법무사,부산 상속 법무사 | 등기·포기·한정승인 먼저 확인,(관측 시점 구 타이틀) 절차 분기·상담 안내,다옴,2026-09-25T23:52:00+09:00
부산 상속 법무사,11,WEB_SITE,daechung-law.com,https://daechung-law.com/,(추정) 대한중앙 법률｜부산,상속·가사 법률 자문,대한중앙,2026-09-25T23:52:00+09:00
부산 상속 법무사,1,AD,naver.com,https://searchad.naver.com/,부산 상속 법무사 상담,(광고),—,2026-09-25T23:52:00+09:00
부산 상속포기 법무사,2,WEB_SITE,bms-sangsok.com,https://bms-sangsok.com/,(추정) 상속포기·한정승인,3개월 기한·가정법원 절차,김정민법무사,2026-09-25T23:54:00+09:00
부산 상속포기 법무사,4,WEB_SITE,greeda.co.kr,https://greeda.co.kr/,부산 상속포기 안내,(추정) 포기·후순위·채무,그리다,2026-09-25T23:54:00+09:00
부산 상속포기 법무사,6,WEB_SITE,다옴법무사사무소.kr,https://다옴법무사사무소.kr/부산상속법무사,부산 상속 법무사 | 등기·포기·한정승인 먼저 확인,허브 URL 노출 — cannibalization,다옴,2026-09-25T23:54:00+09:00
부산 상속포기 법무사,—,NOT_INDEXED,다옴법무사사무소.kr,https://다옴법무사사무소.kr/부산상속포기,부산 상속포기 법무사｜3개월 기한과…,1페이지 미노출 또는 허브 흡수,다옴,2026-09-25T23:54:00+09:00
부산 상속전문 법무사,1,WEB_SITE,greeda.co.kr,https://greeda.co.kr/,부산 상속전문｜로펌,(변호사 중심) 절차·분쟁·세무,그리다,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,2,WEB_SITE,bms-sangsok.com,https://bms-sangsok.com/,김정민 법무사 부산 상속,등기·포기·한정승인 실무,김정민법무사,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,4,WEB_SITE,hero-law.co.kr,https://hero-law.co.kr/,히어로｜부산 상속,(추정) 전문팀·사례,히어로,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,12+,WEB_SITE,다옴법무사사무소.kr,https://다옴법무사사무소.kr/부산상속법무사,(1페이지 상단 미확실),허브·전문 spoke 혼재 가능,다옴,2026-09-25T23:58:00+09:00
부산 상속전문 법무사,15,WEB_SITE,다옴법무사사무소.kr,https://다옴법무사사무소.kr/부산상속전문법무사,(noindex·hub canonical),CANNIBALIZATION_CANDIDATE — 삭제/리다이렉트 금지,다옴,2026-09-25T23:58:00+09:00
